,Id,Rain
0,0,0.0
1,1,0.01
2,2,0.03
3,3,0.04
4,4,0.06
5,5,0.07
6,6,0.09
7,7,0.1
8,8,0.12
9,9,0.14
10,10,0.15
11,11,0.16
