,Id,Rain
0,0,0.0
1,1,0.08
2,2,0.16
3,3,0.24
4,4,0.32
5,5,0.4
6,6,0.48
7,7,0.56
8,8,0.64
9,9,0.72
10,10,0.8
11,11,0.88
12,12,0.96
